Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
134 NE 109th Ave,$264900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
136 NE 109th,$274900,3,2F11/2,1243,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
10831 E Burnside St,$279900,3,2F11/2,1453,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
5015 SW Dosch Rd,$850000,6,3,3802,Bridlemile Elementary School,Gray Middle School,Wilson High School
2222 SE Lambert St,$699000,3,2F21/2,2705,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
16831 NW Madrone St,$1630000,4,5F11/2,5015,Springville K-8 School,Stoller Middle School,Westview High School
2401 NE 162nd Ave,$479923,4,3,2246,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
8270 SW 8th Ave,$789900,4,3,2621,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
5114 NE 109th Ave,$235000,2,1,727,Shaver Elementary School,Parkrose Middle School,Parkrose High School
14695 SW 153rd Ave,$719900,4,2F11/2,2960,Alberta Rider Elementary School,Twality Middle School,Tualatin High School
2744 SW Sherwood Dr,$1300000,4,3,5882,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
921 SW Davenport St,$1449000,4,3F11/2,3950,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
7079 SE Thorburn St,$479900,3,2F11/2,1957,Vestal Elementary School,Roseway Heights School,Madison High School
11325 NW Laidlaw Rd,$649000,3,1,2575,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1587 NE 22nd Ave,$719900,4,3F11/2,2352,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
1585 NE 22nd Ave,$719900,4,3F11/2,2352,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
7240 NW Summitview Dr,$1125000,6,4F11/2,5536,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
1553 NE 22nd Ave,$719900,4,3F11/2,2352,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
2351 SE 156th Ave,$315000,2,1,1436,Parklane Elementary School,Centennial Middle School,Centennial High School
1551 NE 22nd Ave,$719900,4,3F11/2,2352,Irvington Elementary School,Harriet Tubman Middle School,Jefferson High School / Grant High School
534 NE 67th Ave,$474950,5,2,2123,Vestal Elementary School,Roseway Heights School,Madison High School
114 NE 109th Ave,$274900,3,2F11/2,1200,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
1815 SW Montgomery Dr,$2095000,4,3F11/2,6174,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
720 NW Warrenton Ter,$1495000,4,3F11/2,5248,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
6822 N Interstate Ave,$324900,2,1,750,Chief Joseph/Ockley Green School,Ockley Green School,Jefferson or Roosevelt High Schools
11844 N Jantzen Dr,$244000,2,1F11/2,1269,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
14616 NW Rock Creek Rd,$690000,4,3,2329,Skyline Elementary School,Skyline Elementary School,Lincoln High School
2524 NW Skyline Blvd,$1599000,3,4,4625,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
16501 SE Powell Blvd,$349000,3,1,960,Powell Butte Elementary School,Centennial Middle School,Centennial High School
5830 NE Mason St ,$409900,4,2F11/2,1578,Scott Elementary School,Roseway Heights School,Madison High School
14025 NW Charlton Rd,$1295000,6,4,4673,Sauvie Island Academy,Sauvie Island Academy,Scappoose High School
1822 NE 47th Ave,$623900,4,3,3144,Rose City Park,Roseway Heights School,Madison High School
3583 SE 49th Ave,$589000,4,2F11/2,2536,Creston Elementary School,Creston Elementary School,Franklin High School
