Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
17163 SE Alder St,$339999,4,2F11/2,1535,"$3,102",Alder Elementary School,Hauton B Lee Middle School,Reynolds High School,2012
3134 SE 134th Ave,$430000,5,2F11/2,3218,"$4,545",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1955
2162 SE 139th Ave,$315000,3,1,1384,"$3,606",Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School,1926
2242 NE 158th Ave,$350000,2,2,1344,"$5,152",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1990
8431 NW Adams St,$657100,3,2F11/2,3831,"$13,445",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,1997
8225 SE Morrison St,$379900,4,2,1003,"$2,635",Harrison Park School,Harrison Park School,Madison High School,1963
6410 SW Seymour St,$625000,6,2F11/2,3831,"$8,916",Bridlemile Elementary School,Gray Middle School,Wilson High School,1962
1723 SE Harney St,$734950,5,3F11/2,2765,"$4,336",Duniway Elementary School,Sellwood Middle School,Cleveland High School,1910
3803 SE 28th Ave,$380000,2,1,1904,"$3,109",Grout Elementary School,Hosford Middle School,Cleveland High School,1923
12231 NE Russell St,$339900,3,1,1389,"$3,285",Russell Elementary,Parkrose Middle School,Parkrose High School,1956
13109 SE Cora St,$269000,4,3,2706,"$4,384",Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School,1949
9636 N Woolsey Ave,$367000,4,2,1606,"$3,515",Rosa Parks Elementary School,George Middle School,Roosevelt High School,2008
13220 SE Harold St,$499900,4,2,2028,"$5,692",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1969
3030 SW Ridge Dr,$599900,4,2F11/2,3052,"$7,673",Stephenson Elementary School,Jackson Middle School,Wilson High School,1968
7114 SE Mitchell St,$379900,3,1,1763,"$3,497",Arleta Elementary School,Arleta Elementary School,Franklin High School,1908
13639 NE Marine Dr,$699900,3,2,2312,"$6,652",Shaver Elementary School,Parkrose Middle School,Parkrose High School,1968
3172 NE 102nd Ave,$299000,2,2,1708,"$2,562",Sacramento Elementary School,Parkrose Middle School,Parkrose High School,1924
10717 NW Skyline Blvd,$1600000,4,5F11/2,5873,"$26,928",Skyline Elementary School,Skyline Elementary School,Lincoln High School,2007
7720 SW Macadam Ave ,$645000,1,1,748,"$22,496",Capitol Hill Elementary School,Jackson Middle School,Wilson High School,1986
6065 SW Taylor St,$625000,4,3,2236,"$9,909",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1993
7604 SW 35th Ave,$795000,2,1,1680,"$4,807",Maplewood Elementary School,Jackson Middle School,Wilson High School,1922
5904 NE Sandy Blvd,$655000,2,1,2264,"$5,257",Rose City Park,Roseway Heights School,Madison High School,1919
4900 SW Boundary St,$399000,3,1,1396,"$5,258",Hayhurst Elementary School,Gray Middle School,Wilson High School,1952
