Street,Price,Beds,Baths,Square Footage
712 SE 42nd Ave,$464712,2,1,889
650 NW Macleay Blvd,$1350000,4,3F11/2,2863
10035 N Syracuse St,$479950,4,2F11/2,2456
2420 SW 75th Ter,$1390000,4,4,4018
4025 NE Roselawn St,$425000,3,2,1290
306 SW Palatine Hill Rd,$475000,2,1,2184
1148 SE 84th Ave,$299900,2,1F11/2,840
6915 SE 156th Ave,$500000,4,2F11/2,2475
9525 N Polk Ave,$369900,3,1F11/2,1480
5180 N Amherst St,$879900,4,3F11/2,3059
9321 SE Salmon St,$299500,2,1,850
239 SE 53rd Ave,$610000,4,2,3427
3549 N Gantenbein Ave #201,$349900,2,2,1114
9735 N Edison St,$412500,3,1,887
12054 NW Sadie St #28,$819950,5,3F11/2,3305
3570 SW River Pkwy #811,$639000,2,2,1325
5525 NW Skyline Blvd,$1100000,4,3,4562
5240 SW Westwood Vw,$1925000,4,3F11/2,5803
7195 NW Eleanor Ave,$369990,2,2F11/2,1386
7171 NW Eleanor Ave,$333990,2,2F11/2,1214
1873 SW Palatine Hill Rd,$919000,8,3,4226
4107 SE Knapp St,$399900,3,2,1544
9323 SW 51st Ave,$375000,3,1F11/2,1090
2010 NE 121st Ave,$399900,3,2,1872
7501 SE 152nd Ave,$750000,4,2F11/2,3619
13231 SE Buford Ct,$539900,4,2F11/2,2766
9045 SW Howatt St,$799900,3,2,3124
1926 W Burnside St #416,$460000,2,1F11/2,1180
3603 NE Grand Ave,$649000,4,2,2282
9426 SW 47th Ave,$819900,4,3F11/2,2616
2221 SW 1st Ave #2125,$519000,3,2,1950
6220 SW Sheridan St,$985000,5,3F11/2,4559
8102 SW 61st Ave,$899990,5,4F11/2,4007
5262 SW Westwood,$1895000,5,4F11/2,5246
533 NE Cook St,$749000,4,4,2548
537 NE Cook St,$749000,4,4,2548
2110 SE 158th Ave,$347000,3,1F11/2,1272
9919 NW Hoge Ave,$457500,4,1,1820
3549 N Gantenbein Ave #101,$339900,2,2,1114
1075 NW Northrup St #1714,$1199900,2,2F11/2,1600
15140 NW Ridgeline St,$689990,5,3,2573
4334 NE Laurelhurst Pl,$765000,3,3,2590
15156 NW Ridgeline St,$709990,5,3,2914
2521 SW Hoffman Ave,$825000,3,4,3034
5824 SW Corbett Ave,$625000,3,2F11/2,2860
4615 NE 98th Ave,$374900,3,2,1374
15222 NW Evelyn St,$486990,4,2F11/2,1642
15193 NW Olive St,$511990,3,2F11/2,1744
8115 SW Valley View Dr,$700000,5,3,2948
4244 SE Anderegg Loop,$429000,3,2,1834
1724 SW Troy St,$539000,5,2,2252
4150 SE Milwaukie Ave,$359000,2,1,1160
6424 SW Alfred St,$525000,4,2F11/2,2298
3131 NE 57th Ave,$445000,4,2,2088
5305 SE 34th Ave,$649950,6,2F11/2,3425
4221 NE 132nd Ave,$399000,3,2,1440
2333 SE 98th Ave,$375000,3,2F11/2,1804
6103 NW Cornell Rd,$1499000,4,3F11/2,5236
2433 NW Stimpson Ln,$469000,3,2F11/2,1749
18120 SE Main St,$490000,8,3F21/2,2408
15148 NW Ridgeline St #L91,$624990,3,2F11/2,2089
9620 NW Germantown Rd,$650000,4,3F11/2,2838
1510 SE 34th Ave #206,$384900,2,2,1101
3017 SE Claybourne St,$1295000,4,2F11/2,4474
3575 SW Vista Dr,$585000,3,2,1953
4182 NW Spoon Pl,$525000,2,2F11/2,1672
1870 SW Hawthorne Ter,$1075000,5,3,3556
8243 SE Pineridge Ct,$799995,5,3F11/2,4789
2405 NE Saratoga St,$330000,3,2,1073
14040 SE Bush St,$439900,6,2,2446
4522 SW Council Crest Dr,$1125000,5,3F11/2,4645
5525 SW Coronado St,$562000,4,2F11/2,2445
12415 NW Haskell Ct #11,$379500,4,2F21/2,2005
9833 NW Silver Ridge Loop,$375000,2,2,1425
17179 NE Flanders Way,$347900,3,2F11/2,1500
14841 NE Graham St,$267000,3,2,1471
949 NW Overton St #1308,$534900,1,1,987
1001 NW Lovejoy St #512,$900000,2,2,1307
664 NW Greenleaf Rd,$929900,3,3,3339
1926 W Burnside St #1501,$750000,1,2,1334
3546 NE 152nd Ave,$630000,3,2F11/2,2168
11512 SW Streamside Ct,$664900,5,2F11/2,2985
707 N Hayden Island Dr #417,$395000,1,2,1680
10610 SW Inverness Ct,$719990,3,3F11/2,3833
4216 N Mississippi Ave #403,$749950,2,2,1281
6036 NE 36th Ave,$569000,3,2,2186
5631 SW 87th Ave #Lt 14,$1219000,4,3,3154
17708 NW Connett Meadow Ct,$498900,3,2F11/2,2641
7930 SW 69th Ave,$467900,3,2,1750
1902 NW 143rd Ave #7,$209900,2,1,833
5810 SE Henderson St,$320000,2,1,1120
1025 NW Couch St #914,$865000,2,2,1656
820 NW 12th Ave #418,$469000,1,1,774
6503 SE 89th Ave,$534800,4,3F11/2,2508
215 SW Gibbs St,$585000,3,3,2341
7007 SE 78th Ave,$375000,3,2F11/2,1352
1920 SW River Dr #E606,$598000,1,1,1033
11127 SW Southridge Dr,$799000,6,5,4792
2204 NE 50th Ave,$785000,4,2F11/2,3344
44 NE Lombard St,$386900,3,2,1219
3290 NW Blue Sky Ln,$1175000,4,3F11/2,4026
3268 NW Blue Sky Ln,$1150000,4,3F11/2,3684
7691 SE Alder St,$335000,2,1F11/2,851
2136 NE 9th Ave,$1165000,5,3F11/2,3860
18699 NE Marine Dr #D23,$249000,1,1,874
13015 SE Division St #3,$249000,2,1F11/2,985
13017 SE Division St #4,$249000,2,1F11/2,985
13013 SE Division St #2,$249000,2,1F11/2,985
13011 SE Division St #1,$249000,2,1F11/2,985
4625 SW Flower Pl,$490000,3,2F11/2,1908
610 NE Cesar E Chavez Blvd,$799000,5,3F11/2,4682
6665 W Burnside Rd #410,$279500,2,2,1192
3102 SE 171st Dr,$335000,3,1F11/2,1324
10065 NW Jack Ln #82,$309900,2,2F11/2,1420
8917 N Dwight Ave,$284000,3,2F11/2,1460
3924 N Juneau St,$259999,3,1,988
3961 N Vancouver Ave,$599900,3,1F11/2,1590
949 NW Overton St #1006,$530000,1,1,995
13130 SE Lincoln St,$500000,5,2,3443
1519 SW Dolph St,$740000,4,3,3862
4224 SE 12th Ave,$474900,3,2,2181
2814 SE Market St,$499000,3,2,1544
7915 SW 19th Ave,$899900,3,3F11/2,2813
8405 SW Elmwood St,$425000,3,2,1424
8522 N Central St #17-1,$317900,2,2F11/2,1208
1410 SW 11th Ave #807,$335000,1,2,748
321 SE 48th Ave,$599000,5,2,3200
1744 NE Clackamas St,$899000,6,6,3780
5024 NW 140th Ave,$1154900,4,4F11/2,4403
2283 NW Pettygrove St,$929000,3,3F11/2,2098
1954 NW Overton St #6,$890000,3,3F11/2,2020
9233 SE Harney Ct,$449950,3,2,2915
1014 SE 50th Ave,$630000,5,2,3600
